trackName,artistName,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,Classical,0.475,0.13,7,-17.719,1,0.051,0.916,0.956,0.101,0.122,112.241,14Qcrx6Dfjvcj0H8oV8oUW,150827,4
#BrooklynBloodPop!,SyKo,Electronic/Dance Music,0.691,0.814,1,-3.788,0,0.117,0.0164,0.0,0.366,0.509,132.012,7K9Z3yFNNLv5kwTjQYGjnu,145611,4
$10 ,Good Morning,Pop,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,3koAwrM1RO0TGMeQJ3qt9J,89509,4
(I Just) Died In Your Arms,Cutting Crew,Rock,0.625,0.726,11,-11.402,0,0.0444,0.0158,0.000169,0.0625,0.507,124.945,4ByEFOBuLXpCqvO1kw8Wdm,280400,4
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,Rap/Hip Hop,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,30QR0ndUdiiMQMA9g1PGCm,168490,4
...Baby One More Time,Britney Spears,Electronic/Dance Music,0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,3MjUtNVVq3C8Fn0MP3zhXa,211067,4
0 to 100,Sidhu Moose Wala,Rap/Hip Hop,0.742,0.675,8,-6.551,1,0.0907,0.139,0.0,0.167,0.679,145.989,7cVe3mYMIfhOlz1NXFWv70,108493,4
"10,000 Hours (with Justin Bieber)",Dan + Shay,Country,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,2wrJq5XKLnmhRXHIAf9xBa,167693,4
12 Hours,Chris James,Pop,0.83,0.414,3,-7.387,1,0.148,0.497,0.0,0.187,0.797,87.99,4SCCczAQXPOkM26I2gWhjt,133125,4
12:45 - Stripped,Etham,Pop,0.459,0.214,5,-10.66,1,0.0403,0.634,0.0,0.125,0.397,163.816,4edtsBlaX23OPYmhA4R0GP,179013,4
143,Josh Golden,Pop,0.652,0.713,6,-8.331,0,0.105,0.413,0.0048,0.265,0.692,156.031,5nx28cE13vK0gko3qjPkQK,187885,4
1984,glaive,Electronic/Dance Music,0.665,0.746,9,-2.98,1,0.044,0.0125,0.0,0.148,0.426,134.999,1BqhfAEw4jigpJl0O23jnS,150222,4
1985,Bo Burnham,Pop,0.646,0.724,4,-7.466,0,0.0475,0.0432,0.0,0.333,0.894,155.85,0yNiaePZow0ycdrmLV0J7y,146654,4
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,Rock,0.471,0.927,1,-5.76,1,0.0495,0.00272,0.537,0.115,0.232,96.149,6bz9irEuD1Ius2hcHIKRZh,346040,4
2009,glaive,Electronic/Dance Music,0.473,0.849,5,-2.434,0,0.052,0.26,0.0,0.103,0.61,79.538,1LWYInY2Cl77jqgF4U1CJd,110339,4
2019,Bazanji,Rap/Hip Hop,0.596,0.881,11,-5.228,0,0.119,0.153,0.0,0.16,0.302,147.038,4DERbz1e89YD9VZt7or9GB,112245,4
2021,Lauv,Pop,0.849,0.489,0,-7.433,1,0.0509,0.683,1.91e-05,0.108,0.345,113.977,49WWSaa9yKrvsj8PhsIWmc,195952,4
2055,Sleepy Hallow,Rap/Hip Hop,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4XvcHTUfIlWfyJTRG0aqlo,123987,4
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,Classical,0.32,0.127,7,-15.953,0,0.0366,0.929,0.813,0.25,0.272,144.451,2SvULYdmPes23yZQYeLkXV,135773,3
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,Classical,0.227,0.0666,7,-21.772,0,0.0403,0.831,0.392,0.083,0.256,82.568,6yhioaNcLd5qwei5S0HQsu,173853,4
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,Classical,0.358,0.167,7,-16.0,0,0.0354,0.899,0.96,0.103,0.601,144.561,2oLjhx7w8Hyd3gry9cCXr7,138707,4
22,Taylor Swift,Pop,0.642,0.695,7,-5.62,1,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,3yII7UwgLF6K5zW3xad3MP,230960,4
24 Hours,Alexander Stewart,Pop,0.512,0.748,10,-7.338,1,0.0376,0.0908,0.0,0.204,0.338,143.999,1ZGxwxXbpeydURjPS9mrmL,198333,4
7月24日,The Neighbourhood,Rock,0.587,0.744,7,-4.611,0,0.0742,0.00213,0.00181,0.114,0.236,118.962,4Cdb1dE3pfiWlqnAIcImyQ,219973,4
26,Lauv,Pop,0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,4CLDrNSJcJQIeFkHCLM3gb,159608,4
27,Loving Caliber,Pop,0.612,0.362,0,-7.85,1,0.0307,0.686,0.0,0.111,0.459,140.043,3r7W1Kne3d3KE1JPNYiFWm,211361,4
29,Chris James,Pop,0.777,0.597,4,-5.125,1,0.0496,0.51,0.0,0.107,0.9,133.854,0ahoVVrk5FRFzVF8Fp7Pzp,138281,4
2AM,SZA,Pop,0.504,0.267,9,-13.678,0,0.406,0.438,0.0,0.141,0.392,83.966,3vZGtceCbJVh5aDT4XhE0p,242823,4
2step,Ed Sheeran,Pop,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002,2SUxn2O9NHL6GHGQFgwCY0,153627,4
2step (feat. Armaan Malik),Ed Sheeran,Pop,0.747,0.667,4,-5.181,0,0.0566,0.18,0.0,0.146,0.508,95.0,1vf09n9QoDVWhBImRgQQyG,153124,4
2step (feat. Lil Baby),Ed Sheeran,Pop,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,2UN0lp72LAusrXi8LLVomt,163450,4
2z Don Corleon,Lil 2z,Rap/Hip Hop,0.847,0.444,8,-10.167,0,0.492,0.336,0.0,0.0996,0.667,115.042,5DoPoFpGLfEu9KyhbGULMB,117943,4
3 Peg,Sharry Mann,Pop,0.69,0.926,0,-0.223,0,0.253,0.14,0.0,0.112,0.791,167.927,3G8o2zm7LaF6eeVuvLlrkJ,204396,4
"3,000 Miles From Home.",Ben Zaidi,Pop,0.713,0.418,2,-9.035,1,0.0519,0.5,0.000655,0.119,0.527,84.041,2AUvwye5K9DWdXOqlX1i0l,158507,4
"30,000 Feet",Ben Rector,Pop,0.555,0.452,0,-9.636,1,0.0554,0.694,0.0,0.0595,0.321,179.921,0KF5nzdiqZlxVK68MPITst,256933,4
3005,Childish Gambino,Rap/Hip Hop,0.664,0.447,6,-7.272,0,0.289,0.112,0.0,0.091,0.659,83.138,5cc9Zbfp9u10sfJeKZ3h16,234215,4
3:15,Bazzi,Pop,0.651,0.654,1,-5.481,1,0.0466,0.385,0.0,0.181,0.539,141.975,6pmZMP2ET1OJi5rKfLO8jD,167019,4
4u,blackbear,Pop,0.776,0.513,5,-6.757,1,0.0872,0.392,0.0,0.0642,0.813,153.934,1XcXhu1X0xBFMDFyq0b7Ue,158571,4
